run_id,snapshot_date_key,kpi_id,market_id,team_id,actual_value,target_value,prior_period_value,variance_value,variance_pct,numerator_value,denominator_value,notes
49,20260430,1,,,5.0,,5.0,0.0,0.0,5.0,,Computed for 2026-04 cut `overall`.
49,20260430,2,,,1.0,,2.0,-1.0,-0.5,1.0,,Computed for 2026-04 cut `overall`.
49,20260430,3,,,0.2,,0.4,-0.2,-0.5,1.0,5.0,Computed for 2026-04 cut `overall`.
49,20260430,4,,,5.0,,5.0,0.0,0.0,5.0,,Computed for 2026-04 cut `overall`.
49,20260430,5,,,4.0,,3.0,1.0,0.3333333333333333,4.0,,Computed for 2026-04 cut `overall`.
49,20260430,6,,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `overall`.
49,20260430,7,,,0.2,,0.2,0.0,0.0,1.0,5.0,Computed for 2026-04 cut `overall`.
49,20260430,8,,,0.8,,0.8,0.0,0.0,4.0,5.0,Computed for 2026-04 cut `overall`.
49,20260430,9,,,0.8,,0.8,0.0,0.0,4.0,5.0,Computed for 2026-04 cut `overall`.
49,20260430,1,4,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,2,4,,0.0,,1.0,-1.0,-1.0,0.0,,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,3,4,,0.0,,1.0,-1.0,-1.0,0.0,1.0,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,4,4,,0.0,,4.0,-4.0,-1.0,0.0,,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,5,4,,1.0,,0.0,1.0,,1.0,,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,6,4,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,7,4,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,8,4,,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,9,4,,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `market::Chattanooga`.
49,20260430,1,2,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,2,2,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,3,2,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,4,2,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,5,2,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,6,2,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,7,2,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,8,2,,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,9,2,,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `market::Knoxville`.
49,20260430,1,3,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Memphis`.
49,20260430,2,3,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Memphis`.
49,20260430,3,3,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Memphis`.
49,20260430,4,3,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Memphis`.
49,20260430,5,3,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Memphis`.
49,20260430,6,3,,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `market::Memphis`.
49,20260430,7,3,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Memphis`.
49,20260430,8,3,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Memphis`.
49,20260430,9,3,,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `market::Memphis`.
49,20260430,1,1,,2.0,,2.0,0.0,0.0,2.0,,Computed for 2026-04 cut `market::Nashville`.
49,20260430,2,1,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Nashville`.
49,20260430,3,1,,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `market::Nashville`.
49,20260430,4,1,,5.0,,6.0,-1.0,-0.16666666666666666,5.0,,Computed for 2026-04 cut `market::Nashville`.
49,20260430,5,1,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Nashville`.
49,20260430,6,1,,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `market::Nashville`.
49,20260430,7,1,,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `market::Nashville`.
49,20260430,8,1,,1.0,,1.0,0.0,0.0,2.0,2.0,Computed for 2026-04 cut `market::Nashville`.
49,20260430,9,1,,1.0,,1.0,0.0,0.0,2.0,2.0,Computed for 2026-04 cut `market::Nashville`.
49,20260430,1,,1,2.0,,2.0,0.0,0.0,2.0,,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,2,,1,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,3,,1,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,4,,1,5.0,,6.0,-1.0,-0.16666666666666666,5.0,,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,5,,1,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,6,,1,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,7,,1,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,8,,1,1.0,,1.0,0.0,0.0,2.0,2.0,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,9,,1,1.0,,1.0,0.0,0.0,2.0,2.0,Computed for 2026-04 cut `team::TEAM_A`.
49,20260430,1,,2,2.0,,2.0,0.0,0.0,2.0,,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,2,,2,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,3,,2,0.0,,0.0,0.0,,0.0,2.0,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,4,,2,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,5,,2,2.0,,2.0,0.0,0.0,2.0,,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,6,,2,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,7,,2,0.0,,0.0,0.0,,0.0,2.0,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,8,,2,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `team::TEAM_B`.
